"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2377","TS4-01/05 · continent grid renders and filters","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1787","TS9-01 · home has the correct document title","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","5355","TS4-01/05 · continent grid renders and filters","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1629","TS1-01/02 · home renders hero and exactly 7 continent cards","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1770","TS7-17 · assistant returns the exact fallback for gibberish","chromium","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3679","TS7-17 · assistant returns the exact fallback for gibberish","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3353","TS1-04 · continent card navigates to continent page","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","4050","TS5-05/08 · country lists cities that link to the streets map","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","3740","TS8-04 · unknown route redirects home","webkit","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","5004","TS1-12 · footer names data sources and copyright","firefox","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
"","1904","VIS-01 · light theme shows the light hero background","chromium","2026-09-11","passed","2026-09-11","VIS · Hero background — theme visual regression @visual","visual/hero-theme.spec.ts","",""
"","5754","TS1-04 · continent card navigates to continent page","mobile","2026-09-11","passed","2026-09-11","NationsData · Smoke @smoke","smoke.spec.ts","",""
